"PG.ProteinGroups","C_1","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","AA_1","AA_2","AA_3","AA_4","AA_5","AA_6","AA_7","AA_8","AA_9"
"O00410",2.80692961536449,2.53664049416739,2.62550310726035,2.45913723512126,2.52822841470794,2.40390512529581,2.54991744744159,2.72107197252641,2.59170731141191,3.57332952563308,3.43645051330145,3.35854510021391,3.69043807496023,3.81908013632718,3.51839024352893,3.87186169672916,3.6817477664448,3.74333925767225
"O00429",-1.33961153275488,-1.00875717942118,-1.51647742787875,-1.38897025516963,-1.09801383464162,-0.979719244323966,-1.42771353346796,-1.78310135711247,-1.43351827411949,-0.542210527326683,-0.580774055348654,-0.252824643800494,-0.417539509116095,-0.282749751224255,-0.183234394739232,-0.342506209160943,-0.573652087347538,-0.20693808567234
"O00461",-0.927248554222823,-0.161774201560075,-0.359091714884375,-0.330744319645298,-0.601185291283429,-0.576309265803824,-0.319753170871977,-0.590557555783592,-0.956160964095813,-0.69972343767204,-0.78081057959835,-0.439338831074449,-0.425239804319028,-0.219771294841975,-0.545659095970215,0.00110411573386138,-0.673249005322578,0.175409944277943
"O00462",1.07826488890557,1.24949175237725,1.40215089076094,1.38396533089604,1.37652460417748,1.30439075934108,1.36474558457004,1.32028845508853,1.47684118406814,0.494204112640423,0.932669993126668,0.733502341093503,0.791920365485595,0.780745204415538,0.504187528191908,0.25953369022343,0.782587088697703,0.557991337824875
"O00468",6.83723901265845,6.94136409743987,6.98901648210686,6.52289298155475,6.44542409887462,6.28705120196594,6.73217981972271,5.82519128914127,6.73350971351696,6.14044241887957,6.52726374778574,6.52315813475746,6.62933644491932,6.40329320732779,6.16023783628178,5.97438884501037,6.49894401609394,6.54356941934027
"O00469",2.00526904861594,2.07277980528428,2.03997737924656,1.99442712694996,1.84375936897078,1.77789323424028,1.93082162021383,1.88031853182847,1.94828263668925,2.0968275043745,2.34745351385541,2.19085033685666,3.18329698446322,3.37980330650803,2.96797742757447,3.1721042432752,3.27401506571989,3.28289892552571
"O00487",-0.0408676411504043,0.249422855959059,-0.112723888581193,0.126733010210899,-0.343524324373099,0.110204561308267,0.308888655128037,-0.0978301258985255,-0.179765603142856,0.257891733931622,0.548789801815033,0.628810711183277,0.502562351019392,0.239330331920964,0.424568781304318,0.217147957657495,0.521783097616984,0.125671322792254
"O00505",-0.289720817142587,-0.618195954606,-0.294546044712332,-0.24371102450664,-0.658263173755152,-0.862496322695128,-0.317328955842063,-0.849127933818941,-0.0386167245710407,0.639982664645299,0.283366316879635,0.217261452601635,0.672826263232288,0.354164626250196,0.286295063162184,0.244025229659233,0.700967483042094,-0.0525990676569172
"O00560",0.627893906683607,0.819971490389696,0.899934040746293,0.989411244904748,1.12972488667119,0.90394863892454,0.740163698771752,0.125390182287836,0.756162614747005,0.481560359701943,0.414103096799286,-0.167273585986571,-0.113593803825863,0.506454061821742,0.497183630764001,0.698392278167901,0.554364025507107,0.630380887923231
"O00567",-5.46736855591758,-2.89283670563892,-7.3964027486493,-3.72239449909969,NA,NA,NA,NA,NA,-4.07811955437845,-1.37065398440207,-2.90956207982392,-7.16882732122217,-3.61967387423198,-5.92538463586564,NA,-4.18338341618188,-2.23493842695384
"O00571",NA,-1.23714951755045,-1.62706373772256,-1.88051908813977,-3.14176363677954,-2.79581136740784,-1.96271551128359,-1.60590349152024,-2.42639203846841,-2.39369712104961,-1.66185413763026,-1.57894375051629,-2.6641542399777,-3.248983322279,-2.85376858114546,-2.87890387026851,-2.03511556675951,-4.30363183734996
"O00584",2.03958868167297,1.98598050032587,2.38797329391133,2.16976034823919,2.17798263283065,2.00034881419204,2.50539501715733,2.18344230699107,2.29578764218888,1.58213819542355,2.01611896648319,1.7923135787038,2.2131219516176,2.25087384787443,1.71333393797886,1.65041017154432,2.3307558140974,2.24267742790093
"O00592",0.203747055857955,1.00379235844479,1.00620549399352,1.09772961583113,1.11649413034244,0.840036004071951,1.28700729572528,1.21355754888778,0.91012423061002,0.811496046907308,1.68673208471023,1.87059452179317,2.27075670036857,2.17018712629059,1.70555099979276,2.13028598791649,2.29365248273291,2.10384678677665
"O00622",6.75739178262377,6.80765087163257,7.12545048394712,6.63121490479889,6.28558737610336,6.13351454293477,6.75777413549411,6.15066186673604,6.68124704466567,7.35615806499591,6.26472445161836,6.48124996416682,6.16619980344765,5.9781345952712,7.19257526167652,7.13700132576504,6.02838281121723,6.2518088260225
"O00629",-2.46179754754909,NA,-3.99282345976943,-2.62654186527779,-3.51291184172326,-2.72102077108723,-4.26907696592332,NA,NA,-2.07164950688179,-3.0631016154507,-2.95435754812376,-3.59741135329317,-2.18295225524058,-3.01750591070173,-2.26744872621258,-4.98627919428396,-3.03631725353587
"O00743",NA,-1.67404693858553,-1.76293820931572,-2.2406665839522,-3.16517875112733,-1.8352176168975,-1.67809426382234,-1.4768187940927,-2.30756913499316,-1.56462291813637,-1.69798223934872,-2.09246071945918,-1.54749037518668,-2.24235608601429,-1.75232032176074,-2.31904052249798,-1.96854751944276,-2.34256556480793
"O00754",3.21759812705117,3.23731650330036,3.376319177795,3.21290566300773,3.06731034266545,2.86990315067029,3.4074160965683,3.20369098156197,3.34125654300448,2.26483530950606,2.7772318109937,2.59218377385596,2.66209974291746,2.52529530926009,2.1432704976328,2.17081097758644,2.68296182565538,2.6517201953268
"O00762",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32841138594386,NA,-3.47639572830756,NA,NA,NA,NA,NA,NA
"O00764",-3.2291061181866,-1.28729588280956,-1.94133379386861,-1.89023616677503,-1.94040093068495,-2.24032870720283,-2.03368623950206,-2.28753839122752,-2.21120894216723,-2.41125988663931,-1.23826164635802,-1.16344217557804,-1.02578839771378,-1.05619364745146,-1.25960884155433,-0.87044064890884,-0.696408817334043,-0.983984559362793
